symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,rise_bars,retrace_bars,qv24h,taker_buy_60,vol60_bp,n_legs,entry_at
BTWUSDT,1782264780000,1782264960000,0.09695,0.09212227669199219,TP,9.7392,8.89,20,9,101117541.59500599,0.4916,83.87,1,2026-06-24 01:33:00
GUSDT,1782264960000,1782266760000,0.002871,0.002958,TIME,-6.2806,7.13,30,51,61696148.42738201,0.4739,60.44,1,2026-06-24 01:36:00
GUAUSDT,1782268200000,1782269100000,0.4826,0.4627287842025118,TP,8.0151,7.26,25,20,29829288.520100005,0.4593,86.56,1,2026-06-24 02:30:00
GUAUSDT,1782270900000,1782271020000,0.4624,0.4417414915892387,TP,8.7153,7.92,12,18,29216875.9164,0.4191,96.17,2,2026-06-24 03:15:00
BTWUSDT,1782278640000,1782280200000,0.11031,0.11502881666666667,SL,-8.7756,8.05,17,37,121821706.597956,0.5038,74.45,4,2026-06-24 05:24:00
CLOUSDT,1782281760000,1782283560000,0.25297,0.24865,TIME,3.1954,7.65,15,72,71088296.54036999,0.498,76.06,3,2026-06-24 06:16:00
HEIUSDT,1782288660000,1782290460000,0.1217,0.12208,TIME,-0.8445,7.92,16,5,197189627.332044,0.5177,102.23,2,2026-06-24 08:11:00
BELUSDT,1782288840000,1782290400000,0.14853,0.15488378333333333,SL,-8.7756,9.97,14,111,46207791.72348,0.4129,35.12,1,2026-06-24 08:14:00
BTWUSDT,1782289320000,1782289500000,0.10061,0.09634272993502405,TP,8.2628,7.49,11,20,138511107.73132402,0.4887,70.32,4,2026-06-24 08:22:00
CLOUSDT,1782291180000,1782292980000,0.212,0.21085,TIME,0.8649,7.51,7,15,70632157.06565,0.507,98.05,3,2026-06-24 08:53:00
SLXUSDT,1782302820000,1782302880000,0.28329,0.2695396091489008,TP,9.4876,8.65,27,18,165667271.72088,0.5124,70.48,1,2026-06-24 12:07:00
SLXUSDT,1782308760000,1782309660000,0.27416,0.26231238125790973,TP,8.4228,7.64,10,75,206625075.47678,0.5165,50.71,2,2026-06-24 13:46:00
UBUSDT,1782313200000,1782314040000,0.0646,0.05956270168051853,TP,15.3754,14.49,7,32,133007422.08444,0.5247,136.41,3,2026-06-24 15:00:00
UBUSDT,1782314100000,1782315180000,0.06111,0.06372415,SL,-8.7756,7.18,12,64,134358842.33967,0.5081,134.45,3,2026-06-24 15:15:00
MITOUSDT,1782315600000,1782316500000,0.02654,0.027675322222222225,SL,-8.7756,8.15,12,117,5805862.697000001,0.4186,61.12,1,2026-06-24 15:40:00
UBUSDT,1782319620000,1782320400000,0.0615,0.06413083333333333,SL,-8.7756,7.77,4,24,136883132.97566,0.4904,122.12,5,2026-06-24 16:47:00
OUSDT,1782320940000,1782321840000,0.6781,0.7071076111111112,SL,-8.7756,7.38,7,60,28790327.7749,0.4808,80.48,1,2026-06-24 17:09:00
SYNUSDT,1782322140000,1782322680000,0.32459,0.33847523888888886,SL,-8.7756,11.21,9,76,437894732.98353004,0.4999,66.51,3,2026-06-24 17:29:00
MAVIAUSDT,1782322740000,1782322860000,0.02484,0.0259026,SL,-8.7756,25.52,36,32,9400874.454090003,0.5024,141.81,1,2026-06-24 17:39:00
DODOXUSDT,1782324000000,1782325140000,0.016291,0.016987892777777777,SL,-8.7756,14.52,9,30,4507912.398193,0.4798,103.84,1,2026-06-24 18:00:00
LABUSDT,1782325500000,1782327300000,15.385,15.795,TIME,-5.5499,7.67,11,45,579062187.3249,0.5119,86.02,1,2026-06-24 18:25:00
HUSDT,1782329820000,1782331620000,0.07596,0.07148811120581325,TP,11.5543,10.64,14,39,109402106.29800999,0.5058,96.49,4,2026-06-24 19:37:00
HUSDT,1782331680000,1782331920000,0.07126,0.07430834444444445,SL,-8.7756,9.09,17,107,108879767.45887,0.488,78.59,4,2026-06-24 20:08:00
POPCATUSDT,1782339960000,1782341760000,0.04482,0.0457,TIME,-4.1468,9.1,5,8,29985267.0254,0.4826,183.17,2,2026-06-24 22:26:00
MUSDT,1782348900000,1782348960000,0.5062,0.5278541111111111,SL,-8.7756,13.86,3,7,18311753.7626,0.4596,1439.61,1,2026-06-25 00:55:00
CLOUSDT,1782349020000,1782349200000,0.21867,0.20820143930422627,TP,9.3548,8.52,15,45,53631848.99278,0.4872,74.97,1,2026-06-25 00:57:00
MUSDT,1782354300000,1782354840000,0.8521,0.806811802271157,TP,10.4098,9.53,3,18,56752345.1901,0.5086,329.45,6,2026-06-25 02:25:00
MUSDT,1782354900000,1782355200000,0.8355,0.7923102242311268,TP,10.1187,9.25,5,33,59439179.304800004,0.5065,329.53,6,2026-06-25 02:35:00
BTWUSDT,1782358440000,1782359760000,0.10115,0.09539442566779203,TP,11.1603,10.26,12,12,137836633.868388,0.5152,137.8,2,2026-06-25 03:34:00
HUSDT,1782367380000,1782367800000,0.07554,0.07217056629965958,TP,8.7009,7.9,7,16,155529572.26711,0.4749,119.9,8,2026-06-25 06:03:00
HUSDT,1782368340000,1782369660000,0.06595,0.06132475419419593,TP,13.8065,12.88,17,80,159323016.25461,0.474,122.0,8,2026-06-25 06:19:00
HUSDT,1782370500000,1782370560000,0.061,0.06360944444444444,SL,-8.7756,8.35,5,9,166021384.08196998,0.4795,149.7,9,2026-06-25 06:55:00
HUSDT,1782374760000,1782375300000,0.0603,0.05575538769666001,TP,14.8533,13.95,17,54,173487484.15662998,0.5071,102.42,8,2026-06-25 08:06:00
