symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,entry_at
SAHARAUSDT,1751023560000,1751025360000,0.08324,0.08513,TIME,-4.7611,7.83,2025-06-27 11:26:00
MILKUSDT,1751030760000,1751032560000,0.06496,0.06418,TIME,2.1815,10.29,2025-06-27 13:26:00
BSWUSDT,1751121600000,1751123400000,0.02367,0.02364,TIME,0.0335,9.71,2025-06-28 14:40:00
RESOLVUSDT,1751127900000,1751128020000,0.1571,0.1485290415076917,TP,10.6915,9.8,2025-06-28 16:25:00
HUSDT,1751231160000,1751231520000,0.04535,0.047289972222222226,SL,-8.7756,11.02,2025-06-29 21:06:00
HFTUSDT,1751244300000,1751246100000,0.06812,0.06723,TIME,2.393,9.11,2025-06-30 00:45:00
HUSDT,1751245080000,1751246880000,0.04769,0.04719,TIME,1.8769,8.71,2025-06-30 00:58:00
1000000BOBUSDT,1751245980000,1751247780000,0.04493,0.04564,TIME,-3.3805,7.13,2025-06-30 01:13:00
BANANAS31USDT,1751256120000,1751256480000,0.013166,0.012429664967226603,TP,10.9654,10.07,2025-06-30 04:02:00
LEVERUSDT,1751273520000,1751274000000,0.0003885,0.0004051191666666667,SL,-8.7756,7.46,2025-06-30 08:52:00
SKATEUSDT,1751289360000,1751289600000,0.0541,0.05154928402407968,TP,9.2096,8.38,2025-06-30 13:16:00
1000000BOBUSDT,1751293380000,1751293560000,0.05148,0.049372978550993325,TP,7.9658,7.21,2025-06-30 14:23:00
